# Simulation 7 (Up to date),,,,,,,,
# 648 data points written for 9 variables.,,,,,,,,
#,,,,,,,,
# Tiempo (s),Altitud (m),Altitude above sea level (m),Velocidad vertical (m/s),Velocidad total (m/s),AceleraciÃ³n vertical (m/sÂ²),AceleraciÃ³n total (m/sÂ²),Velocidad horizontal (m/s),AceleraciÃ³n horizontal (m/sÂ²)
# Event IGNITION occurred at t=0 seconds,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
"0,39","9,447","9,447","51,059","51,06","147,134","147,23","0,26","5,301"
"0,395","9,704","9,704","51,795","51,796","147,264","147,371","0,288","5,608"
"0,4","9,965","9,965","52,532","52,533","147,378","147,497","0,316","5,921"
"0,405","10,229","10,229","53,269","53,27","147,474","147,606","0,347","6,238"
"0,41","10,497","10,497","54,006","54,008","147,553","147,699","0,379","6,559"
"0,415","10,769","10,769","54,744","54,746","147,615","147,776","0,412","6,883"
"0,42","11,045","11,045","55,482","55,484","147,66","147,836","0,448","7,21"
"0,425","11,324","11,324","56,221","56,223","147,688","147,881","0,485","7,539"
"0,43","11,607","11,607","56,959","56,962","147,699","147,908","0,523","7,869"
"0,435","11,894","11,894","57,698","57,7","147,692","147,92","0,563","8,2"
"0,44","12,184","12,184","58,436","58,439","147,668","147,915","0,605","8,531"
"0,445","12,478","12,478","59,174","59,178","147,628","147,893","0,649","8,861"
"0,45","12,776","12,776","59,912","59,916","147,569","147,855","0,694","9,189"
"0,455","13,077","13,077","60,65","60,655","147,495","147,801","0,74","9,503"
"0,46","13,382","13,382","61,387","61,392","147,404","147,73","0,789","9,812"
"0,465","13,691","13,691","62,124","62,13","147,296","147,643","0,838","10,116"
"0,47","14,003","14,003","62,86","62,867","147,171","147,539","0,89","10,415"
"0,475","14,319","14,319","63,596","63,603","147,029","147,418","0,943","10,706"
"0,48","14,639","14,639","64,33","64,338","146,871","147,282","0,997","10,989"
"0,485","14,963","14,963","65,064","65,073","146,697","147,129","1,053","11,264"
"0,49","15,29","15,29","65,797","65,807","146,506","146,959","1,109","11,528"
"0,495","15,621","15,621","66,529","66,54","146,3","146,773","1,168","11,781"
"0,5","15,955","15,955","67,26","67,272","146,077","146,571","1,227","12,023"
"0,505","16,293","16,293","67,99","68,002","145,839","146,352","1,288","12,248"
"0,51","16,635","16,635","68,719","68,732","145,585","146,117","1,35","12,458"
"0,515","16,981","16,981","69,446","69,46","145,316","145,866","1,413","12,654"
"0,52","17,33","17,33","70,172","70,187","145,032","145,599","1,476","12,834"
"0,525","17,682","17,682","70,896","70,913","144,733","145,316","1,541","12,998"
"0,53","18,039","18,039","71,619","71,637","144,419","145,016","1,606","13,143"
"0,535","18,398","18,398","72,34","72,36","144,091","144,7","1,672","13,271"
"0,54","18,762","18,762","73,06","73,081","143,748","144,369","1,739","13,379"
"0,545","19,129","19,129","73,778","73,8","143,39","144,021","1,806","13,468"
"0,55","19,5","19,5","74,494","74,517","143,019","143,658","1,874","13,536"
"0,555","19,874","19,874","75,208","75,233","142,633","143,279","1,941","13,596"
"0,56","20,252","20,252","75,92","75,947","142,233","142,885","2,009","13,634"
"0,565","20,633","20,633","76,63","76,658","141,819","142,474","2,078","13,651"
"0,57","21,018","21,018","77,338","77,368","141,392","142,049","2,146","13,645"
"0,575","21,407","21,407","78,044","78,076","140,951","141,608","2,214","13,617"
"0,58","21,799","21,799","78,748","78,781","140,498","141,151","2,282","13,565"
"0,585","22,194","22,194","79,449","79,484","140,031","140,679","2,35","13,49"
"0,59","22,593","22,593","80,148","80,184","139,552","140,193","2,417","13,392"
"0,595","22,995","22,995","80,845","80,883","139,059","139,691","2,484","13,27"
"0,6","23,401","23,401","81,539","81,578","138,554","139,174","2,55","13,126"
"0,605","23,811","23,811","82,23","82,272","138,035","138,643","2,615","12,969"
"0,61","24,224","24,224","82,918","82,961","137,082","137,674","2,679","12,757"
"0,615","24,64","24,64","83,603","83,648","136,839","137,416","2,742","12,579"
"0,62","25,06","25,06","84,286","84,333","136,59","137,15","2,805","12,379"
"0,625","25,483","25,483","84,969","85,017","136,334","136,875","2,866","12,159"
"0,63","25,909","25,909","85,65","85,7","136,071","136,592","2,926","11,919"
"0,635","26,339","26,339","86,329","86,381","135,801","136,301","2,985","11,66"
"0,64","26,773","26,773","87,008","87,061","135,524","136,001","3,043","11,383"
"0,645","27,209","27,209","87,684","87,739","135,239","135,693","3,099","11,089"
"0,65","27,65","27,65","88,36","88,416","134,946","135,376","3,154","10,78"
"0,655","28,093","28,093","89,034","89,092","134,646","135,051","3,207","10,457"
"0,66","28,54","28,54","89,706","89,766","134,337","134,718","3,258","10,122"
"0,665","28,99","28,99","90,377","90,438","134,02","134,376","3,308","9,776"
"0,67","29,444","29,444","91,047","91,108","133,694","134,026","3,356","9,422"
"0,675","29,901","29,901","91,714","91,777","133,36","133,667","3,402","9,06"
"0,68","30,361","30,361","92,38","92,444","133,016","133,3","3,447","8,694"
"0,685","30,824","30,824","93,044","93,11","132,663","132,924","3,489","8,324"
"0,69","31,291","31,291","93,707","93,773","132,301","132,54","3,53","7,953"
"0,695","31,761","31,761","94,367","94,435","131,93","132,148","3,569","7,583"
"0,7","32,235","32,235","95,026","95,094","131,549","131,747","3,606","7,216"
"0,705","32,712","32,712","95,683","95,752","131,159","131,337","3,641","6,845"
"0,71","33,192","33,192","96,338","96,408","130,758","130,919","3,674","6,481"
"0,715","33,675","33,675","96,99","97,061","130,348","130,492","3,706","6,128"
"0,72","34,162","34,162","97,641","97,712","129,928","130,057","3,736","5,787"
"0,725","34,651","34,651","98,29","98,362","129,498","129,613","3,764","5,461"
"0,73","35,145","35,145","98,936","99,009","129,058","129,161","3,79","5,152"
"0,735","35,641","35,641","99,58","99,653","128,608","128,7","3,815","4,863"
"0,74","36,14","36,14","100,222","100,296","128,147","128,23","3,839","4,595"
"0,745","36,643","36,643","100,862","100,935","127,677","127,751","3,861","4,352"
"0,75","37,149","37,149","101,499","101,573","127,197","127,264","3,882","4,135"
"0,755","37,658","37,658","102,134","102,208","126,707","126,768","3,903","3,93"
"0,76","38,17","38,17","102,766","102,841","126,207","126,262","3,922","3,754"
"0,765","38,686","38,686","103,396","103,471","125,696","125,748","3,94","3,609"
"0,77","39,204","39,204","104,023","104,098","125,176","125,225","3,958","3,497"
"0,775","39,726","39,726","104,647","104,723","124,646","124,693","3,975","3,418"
# Event BURNOUT occurred at t=0.78 seconds,,,,,,,,
"0,78","40,25","40,25","104,92","104,995","-15,588","15,787","3,977","2,498"
"0,788","41,037","41,037","104,803","104,878","-15,575","15,769","3,959","2,463"
"0,799","42,215","42,215","104,628","104,702","-15,556","15,731","3,932","2,338"
"0,815","43,872","43,872","104,382","104,454","-15,534","15,665","3,897","2,024"
"0,833","45,826","45,826","104,091","104,162","-15,514","15,586","3,864","1,497"
"0,861","48,649","48,649","103,669","103,74","-15,503","15,514","3,835","0,581"
"0,901","52,863","52,863","103,037","103,108","-15,512","15,528","3,839","0,708"
"0,931","55,908","55,908","102,577","102,65","-15,521","15,589","3,872","1,449"
"0,949","57,716","57,716","102,303","102,378","-15,508","15,596","3,9","1,653"
"0,964","59,343","59,343","102,057","102,132","-15,473","15,551","3,926","1,562"
"0,981","61,04","61,04","101,8","101,876","-15,42","15,475","3,95","1,3"
1,"62,995","62,995","101,504","101,581","-15,347","15,371","3,97","0,841"
"1,027","65,686","65,686","101,097","101,176","-15,247","15,247","3,984","0,141"
"1,067","69,704","69,704","100,492","100,571","-15,114","15,143","3,967","0,935"
"1,117","74,709","74,709","99,74","99,816","-14,997","15,098","3,897","1,746"
"1,139","76,914","76,914","99,408","99,483","-14,958","15,067","3,857","1,808"
"1,16","79,016","79,016","99,092","99,165","-14,926","15,021","3,82","1,687"
"1,183","81,287","81,287","98,749","98,822","-14,897","14,962","3,784","1,387"
"1,212","84,18","84,18","98,312","98,384","-14,872","14,895","3,752","0,822"
"1,256","88,496","88,496","97,658","97,729","-14,856","14,857","3,736","0,128"
"1,306","93,36","93,36","96,915","96,988","-14,844","14,878","3,768",1
"1,33","95,673","95,673","96,56","96,635","-14,811","14,847","3,793","1,041"
"1,354","97,911","97,911","96,217","96,293","-14,76","14,787","3,815","0,885"
"1,38","100,426","100,426","95,832","95,908","-14,691","14,702","3,835","0,559"
"1,416","103,848","103,848","95,307","95,385","-14,585","14,585","3,843","0,104"
"1,466","108,595","108,595","94,581","94,658","-14,457","14,491","3,814","1,003"
"1,51","112,778","112,778","93,942","94,017","-14,376","14,438","3,76","1,333"
"1,54","115,608","115,608","93,508","93,582","-14,335","14,387","3,721","1,214"
"1,574","118,75","118,75","93,026","93,099","-14,296","14,327","3,685","0,943"
"1,621","123,133","123,133","92,351","92,423","-14,255","14,26","3,653","0,37"
"1,671","127,733","127,733","91,639","91,712","-14,221","14,223","3,65","0,229"
"1,721","132,297","132,297","90,929","91,003","-14,17","14,178","3,67","0,486"
"1,762","136,012","136,012","90,35","90,425","-14,104","14,11","3,689","0,392"
"1,809","140,224","140,224","89,692","89,768","-14,014","14,014","3,701","0,07"
"1,859","144,691","144,691","88,994","89,07","-13,905","13,917","3,688","0,558"
"1,909","149,123","149,123","88,301","88,376","-13,819","13,85","3,65","0,931"
"1,956","153,254","153,254","87,654","87,728","-13,757","13,787","3,605","0,899"
"2,005","157,518","157,518","86,983","87,056","-13,708","13,72","3,569","0,575"
"2,055","161,85","161,85","86,299","86,372","-13,668","13,669","3,55","0,149"
"2,105","166,148","166,148","85,616","85,69","-13,639","13,643","3,557","0,352"
"2,155","170,411","170,411","84,936","85,011","-13,574","13,578","3,575","0,332"
"2,205","174,641","174,641","84,259","84,335","-13,492","13,492","3,586","0,069"
"2,255","178,837","178,837","83,587","83,663","-13,403","13,407","3,579","0,345"
"2,305",183,183,"82,918","82,995","-13,326","13,341","3,554","0,63"
"2,355","187,129","187,129","82,254","82,329","-13,265","13,281","3,521","0,657"
"2,405","191,225","191,225","81,592","81,666","-13,211","13,222","3,49","0,539"
"2,455","195,289","195,289","80,933","81,007","-13,161","13,167","3,466","0,408"
"2,505","199,319","199,319","80,276","80,35","-13,115","13,117","3,45","0,225"
